,,,D001,D002,D003
GEO.id,GEO.id2,GEO.display-label,Total:,Total:,Total:
Id,Id2,Geography,,Occupied,Vacant
1000000US060014003002011,060014003002011,"Block 2011, Block Group 2, Census Tract 4003, Alameda County, California",53,37,16
1000000US060014003002012,060014003002012,"Block 2012, Block Group 2, Census Tract 4003, Alameda County, California",0,0,0
1000000US060014003002013,060014003002013,"Block 2013, Block Group 2, Census Tract 4003, Alameda County, California",0,0,0
1000000US060014003002014,060014003002014,"Block 2014, Block Group 2, Census Tract 4003, Alameda County, California",0,0,0
1000000US060014003002015,060014003002015,"Block 2015, Block Group 2, Census Tract 4003, Alameda County, California",40,36,4
1000000US060014003002016,060014003002016,"Block 2016, Block Group 2, Census Tract 4003, Alameda County, California",0,0,0
1000000US060014003002017,060014003002017,"Block 2017, Block Group 2, Census Tract 4003, Alameda County, California",0,0,0
1000000US060014003002018,060014003002018,"Block 2018, Block Group 2, Census Tract 4003, Alameda County, California",106,93,13
1000000US060014003002019,060014003002019,"Block 2019, Block Group 2, Census Tract 4003, Alameda County, California",2,2,0
1000000US060014003002020,060014003002020,"Block 2020, Block Group 2, Census Tract 4003, Alameda County, California",29,28,1
1000000US060014003002021,060014003002021,"Block 2021, Block Group 2, Census Tract 4003, Alameda County, California",11,10,1
1000000US060014003002022,060014003002022,"Block 2022, Block Group 2, Census Tract 4003, Alameda County, California",31,30,1
1000000US060014003002023,060014003002023,"Block 2023, Block Group 2, Census Tract 4003, Alameda County, California",17,16,1
1000000US060014003002024,060014003002024,"Block 2024, Block Group 2, Census Tract 4003, Alameda County, California",3,1,2
1000000US060014003003000,060014003003000,"Block 3000, Block Group 3, Census Tract 4003, Alameda County, California",0,0,0
1000000US060014003003001,060014003003001,"Block 3001, Block Group 3, Census Tract 4003, Alameda County, California",17,16,1
1000000US060014003003002,060014003003002,"Block 3002, Block Group 3, Census Tract 4003, Alameda County, California",126,121,5
1000000US060014003003003,060014003003003,"Block 3003, Block Group 3, Census Tract 4003, Alameda County, California",0,0,0
1000000US060014003003004,060014003003004,"Block 3004, Block Group 3, Census Tract 4003, Alameda County, California",0,0,0
1000000US060014003003005,060014003003005,"Block 3005, Block Group 3, Census Tract 4003, Alameda County, California",50,47,3
1000000US060014003003006,060014003003006,"Block 3006, Block Group 3, Census Tract 4003, Alameda County, California",52,44,8
1000000US060014003003007,060014003003007,"Block 3007, Block Group 3, Census Tract 4003, Alameda County, California",27,26,1
1000000US060014003003008,060014003003008,"Block 3008, Block Group 3, Census Tract 4003, Alameda County, California",0,0,0
1000000US060014003003009,060014003003009,"Block 3009, Block Group 3, Census Tract 4003, Alameda County, California",5,4,1
1000000US060014003003010,060014003003010,"Block 3010, Block Group 3, Census Tract 4003, Alameda County, California",6,6,0
1000000US060014003003011,060014003003011,"Block 3011, Block Group 3, Census Tract 4003, Alameda County, California",0,0,0
